ID,Title,Year,Rating,IMDb,Genre,Platform
1,Terminator: Dark Fate,2019,18+,6.2,Action & Adventure,Amazon Prime Video
2,Gemini Man,2019,13+,5.7,Action & Adventure,Amazon Prime Video
3,Rambo: Last Blood,2019,18+,6.1,Action & Adventure,Amazon Prime Video
4,The Courier,2019,18+,4.9,Action & Adventure,Amazon Prime Video
5,Crawl,2019,18+,6.1,Action & Adventure,Amazon Prime Video
6,The Kill Team,2019,18+,5.9,Action & Adventure,Amazon Prime Video
7,The Rhythm Section,2020,18+,5.3,Action & Adventure,Amazon Prime Video
8,Legionnaire's Trail,2020,18+,3.1,Action & Adventure,Amazon Prime Video
9,The Avengers,2012,13+,8.0,Action & Adventure,Amazon Prime Video
10,Escape Plan: The Extractors,2019,18+,4.4,Action & Adventure,Amazon Prime Video
11,Primal,2019,18+,4.9,Action & Adventure,Amazon Prime Video
12,Danger Close,2019,18+,6.8,Action & Adventure,Amazon Prime Video
13,Kill Chain,2020,18+,5.0,Action & Adventure,Amazon Prime Video
14,Bumblebee,2018,13+,6.8,Action & Adventure,Amazon Prime Video
15,Trauma Center,2019,18+,4.4,Action & Adventure,Amazon Prime Video
16,Line of Duty,2019,18+,5.3,Action & Adventure,Amazon Prime Video
17,The Aeronauts,2019,13+,6.6,Action & Adventure,Amazon Prime Video
18,Train to Busan,2016,,7.6,Action & Adventure,Amazon Prime Video
19,Assassin 33 A.D.,2020,13+,3.5,Action & Adventure,Amazon Prime Video
20,Hacker,2019,,5.2,Action & Adventure,Amazon Prime Video
21,Hell on the Border,2019,18+,4.1,Action & Adventure,Amazon Prime Video
22,Mission: Impossible - Fallout,2018,13+,7.7,Action & Adventure,Amazon Prime Video
23,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,7+,7.0,Action & Adventure,Amazon Prime Video
24,The First King,2019,18+,6.5,Action & Adventure,Amazon Prime Video
25,Escape Plan 2: Hades,2018,18+,3.9,Action & Adventure,Amazon Prime Video
26,The Last Sharknado: It's About Time,2018,16+,3.5,Action & Adventure,Amazon Prime Video
27,Along with the Gods: The Two Worlds,2017,7+,7.3,Action & Adventure,Amazon Prime Video
28,The Jurassic Games,2018,,3.8,Action & Adventure,Amazon Prime Video
29,Overlord,2018,18+,6.6,Action & Adventure,Amazon Prime Video
30,7 Guardians of the Tomb,2018,13+,4.4,Action & Adventure,Amazon Prime Video
31,Hard Night Falling,2019,18+,3.5,Action & Adventure,Amazon Prime Video
32,Iron Man 2,2010,13+,7.0,Action & Adventure,Amazon Prime Video
33,Thor,2011,13+,7.0,Action & Adventure,Amazon Prime Video
34,Asterix the Gaul,1967,all,6.6,Animation,Amazon Prime Video
35,SlugTerra: Return of the Elementals,2014,7+,6.4,Animation,Amazon Prime Video
36,Ooops! Noah is Gone...,2015,all,5.8,Animation,Amazon Prime Video
37,Shark Bait,2006,all,4.2,Animation,Amazon Prime Video
38,Love Live! The School Idol Movie,2015,,7.2,Animation,Amazon Prime Video
39,The Stolen Princess: Ruslan and Ludmila,2018,,6.1,Animation,Amazon Prime Video
40,Video Games: The Movie,2014,,6.1,Animation,Amazon Prime Video
41,Donkey X,2007,7+,4.6,Animation,Amazon Prime Video
42,Maya the Bee Movie,2014,all,5.9,Animation,Amazon Prime Video
43,Ernest & Celestine,2012,7+,7.9,Animation,Amazon Prime Video
44,Blame!,2017,13+,6.7,Animation,Amazon Prime Video
45,Spark: A Space Tail,2016,7+,4.5,Animation,Amazon Prime Video
46,Maya the Bee: The Honey Games,2018,all,5.6,Animation,Amazon Prime Video
47,Hulk Vs.,2009,13+,7.0,Animation,Amazon Prime Video
48,Top Cat Begins,2015,7+,4.2,Animation,Amazon Prime Video
49,Tarzan,2013,all,4.8,Animation,Amazon Prime Video
50,A Turtle's Tale 2: Sammy's Escape from Paradise,2012,,5.6,Animation,Amazon Prime Video
51,Delirium,2018,18+,5.7,Animation,Amazon Prime Video
52,Puzzle,2018,18+,6.7,Animation,Amazon Prime Video
53,A Turtle's Tale: Sammy's Adventures,2010,all,6.0,Animation,Amazon Prime Video
54,The Plague Dogs,1982,13+,7.8,Animation,Amazon Prime Video
55,My Way,2012,,6.9,Biography,Amazon Prime Video
56,Electric Slide,2014,18+,4.7,Biography,Amazon Prime Video
57,Manson: Music From an Unsound Mind,2019,,7.0,Biography,Amazon Prime Video
58,Flight of the Butterflies,2012,all,7.0,Biography,Amazon Prime Video
59,Hawking,2013,18+,7.3,Biography,Amazon Prime Video
60,England Is Mine,2017,,5.8,Biography,Amazon Prime Video
61,The King's Choice,2016,,7.1,Biography,Amazon Prime Video
62,The Bell Witch Haunting,2013,,3.6,Biography,Amazon Prime Video
63,The Brothers Warner,2009,,7.3,Biography,Amazon Prime Video
64,More than a Game,2008,7+,7.6,Biography,Amazon Prime Video
65,Paul Williams Still Alive,2011,13+,6.9,Biography,Amazon Prime Video
66,Nina Conti: Her Master's Voice,2012,13+,7.5,Biography,Amazon Prime Video
67,Little Dieter Needs to Fly,1997,,8.0,Biography,Amazon Prime Video
68,The Music of Silence,2017,,6.6,Biography,Amazon Prime Video
69,Another Country,1984,7+,7.1,Biography,Amazon Prime Video
70,Chasing Beauty,2013,,6.1,Biography,Amazon Prime Video
71,Eames: The Architect and the Painter,2011,,7.2,Biography,Amazon Prime Video
72,Swimming Upstream,2003,13+,7.1,Biography,Amazon Prime Video
73,The Private Life of Henry VIII,1933,,7.1,Biography,Amazon Prime Video
74,Trumbo,2007,13+,7.4,Biography,Amazon Prime Video
75,Not a War Story,2017,,6.6,Biography,Amazon Prime Video
76,The Image Revolution,2013,,7.2,Biography,Amazon Prime Video
77,Marianne & Leonard: Words of Love,2019,18+,6.9,Biography,Amazon Prime Video
78,Candyman: The David Klein Story,2010,,6.5,Biography,Amazon Prime Video
79,Showrunners: The Art of Running a TV Show,2014,,6.7,Biography,Amazon Prime Video
80,Joseph Smith: Prophet of the Restoration,2005,,7.8,Biography,Amazon Prime Video
81,The Devil's Violinist,2013,18+,6.1,Biography,Amazon Prime Video
82,Antarctica: A Year on Ice,2013,7+,7.6,Biography,Amazon Prime Video
83,Gascoigne,2015,13+,7.1,Biography,Amazon Prime Video
84,Facing Ali,2009,18+,8.0,Biography,Amazon Prime Video
85,The Enigma of Kaspar Hauser,1974,,7.8,Biography,Amazon Prime Video
86,Pablo,2012,,6.6,Biography,Amazon Prime Video
87,Armstrong,2019,,6.9,Biography,Amazon Prime Video
88,Alien Origin,2012,,1.9,Biography,Amazon Prime Video
89,Becoming Astrid,2018,,7.1,Biography,Amazon Prime Video
90,Altman,2014,7+,6.8,Biography,Amazon Prime Video
91,Sacco & Vanzetti,1971,,7.8,Biography,Amazon Prime Video
92,The Trials of Muhammad Ali,2013,,7.3,Biography,Amazon Prime Video
93,King: Man of Peace in a Time of War,2007,,6.6,Biography,Amazon Prime Video
94,Gordon Lightfoot: If You Could Read My Mind,2019,,7.7,Biography,Amazon Prime Video
95,Song of Granite,2017,,6.6,Biography,Amazon Prime Video
96,Scott Walker: 30 Century Man,2007,all,7.2,Biography,Amazon Prime Video
97,The Real Bruce Lee,1977,,4.7,Biography,Amazon Prime Video
98,Drew: The Man Behind the Poster,2013,,7.5,Biography,Amazon Prime Video
99,Lauda: The Untold Story,2015,,6.4,Biography,Amazon Prime Video
100,Pantani: The Accidental Death of a Cyclist,2014,7+,7.0,Biography,Amazon Prime Video
101,Casting By,2012,16+,7.6,Biography,Amazon Prime Video
102,Good Vibrations,2012,,7.2,Biography,Amazon Prime Video
103,The Maestro,2020,,5.8,Biography,Amazon Prime Video
104,The Bit Player,2019,,7.3,Biography,Amazon Prime Video
105,Blow the Man Down,2019,18+,6.4,Comedy,Amazon Prime Video
106,Love Live! The School Idol Movie,2015,,7.2,Comedy,Amazon Prime Video
107,My Name Is Nobody,1973,7+,7.5,Comedy,Amazon Prime Video
108,This Beautiful Fantastic,2016,7+,6.9,Comedy,Amazon Prime Video
109,My Awkward Sexual Adventure,2012,18+,6.1,Comedy,Amazon Prime Video
110,Sex and the Teenage Mind,2002,18+,4.1,Comedy,Amazon Prime Video
111,The Stolen Princess: Ruslan and Ludmila,2018,,6.1,Comedy,Amazon Prime Video
112,The Aristocrats,2005,,6.4,Comedy,Amazon Prime Video
113,House,1986,18+,6.2,Comedy,Amazon Prime Video
114,The Mexican,2001,18+,6.1,Comedy,Amazon Prime Video
115,Landline,2017,18+,6.4,Comedy,Amazon Prime Video
116,Chaplin,1992,13+,7.6,Comedy,Amazon Prime Video
117,MacGruber,2010,18+,5.5,Comedy,Amazon Prime Video
118,The Dressmaker,2015,18+,7.1,Comedy,Amazon Prime Video
119,Porky's II: The Next Day,1983,18+,5.1,Comedy,Amazon Prime Video
120,Paterson,2016,18+,7.4,Comedy,Amazon Prime Video
121,Saving Face,2004,18+,7.4,Comedy,Amazon Prime Video
122,Two Night Stand,2014,18+,6.4,Comedy,Amazon Prime Video
123,Beyond Re-Animator,2003,18+,5.8,Comedy,Amazon Prime Video
124,American Ninja 2: The Confrontation,1987,18+,4.9,Comedy,Amazon Prime Video
125,Art School Confidential,2006,18+,6.3,Comedy,Amazon Prime Video
126,The Return of Swamp Thing,1989,13+,4.7,Comedy,Amazon Prime Video
127,I'll See You in My Dreams,2015,13+,6.7,Comedy,Amazon Prime Video
128,Coneheads,1993,7+,5.3,Comedy,Amazon Prime Video
129,Diary of a Mad Black Woman,2005,13+,5.8,Comedy,Amazon Prime Video
130,The Jewel of the Nile,1985,7+,6.2,Comedy,Amazon Prime Video
131,Last Flag Flying,2017,18+,6.9,Comedy,Amazon Prime Video
132,Trees Lounge,1996,18+,7.1,Comedy,Amazon Prime Video
133,Maya the Bee Movie,2014,all,5.9,Comedy,Amazon Prime Video
134,Thank You for Smoking,2005,18+,7.6,Comedy,Amazon Prime Video
135,Rudderless,2014,18+,7.5,Comedy,Amazon Prime Video
136,Wayne's World 2,1993,13+,6.2,Comedy,Amazon Prime Video
137,Ernest & Celestine,2012,7+,7.9,Comedy,Amazon Prime Video
138,Kid Cannabis,2014,,6.4,Comedy,Amazon Prime Video
139,Bad News Bears,2005,13+,5.8,Comedy,Amazon Prime Video
140,Mad Money,2008,13+,5.8,Comedy,Amazon Prime Video
141,Man About Town,2006,18+,5.5,Comedy,Amazon Prime Video
142,Not Another Happy Ending,2013,,6.2,Comedy,Amazon Prime Video
143,Private Parts,1997,18+,6.9,Comedy,Amazon Prime Video
144,Cutthroat Island,1995,13+,5.7,Comedy,Amazon Prime Video
145,Blind Fury,1989,18+,6.4,Comedy,Amazon Prime Video
146,Spun,2002,18+,6.8,Comedy,Amazon Prime Video
147,Python,2000,18+,3.7,Comedy,Amazon Prime Video
148,Stitches,2012,18+,5.7,Comedy,Amazon Prime Video
149,Surviving Christmas,2004,13+,5.5,Comedy,Amazon Prime Video
150,Sabrina,1995,7+,6.3,Comedy,Amazon Prime Video
151,Wild Horses,2015,18+,4.8,Crime,Amazon Prime Video
152,Tactical Force,2011,18+,4.8,Crime,Amazon Prime Video
153,The Power of Few,2013,18+,5.2,Crime,Amazon Prime Video
154,Polytechnique,2009,,7.2,Crime,Amazon Prime Video
155,An Inspector Calls,2015,7+,7.7,Crime,Amazon Prime Video
156,BMX Bandits,1983,7+,5.5,Crime,Amazon Prime Video
157,Desperate Hours,1990,18+,5.4,Crime,Amazon Prime Video
158,High Risk,1995,18+,6.1,Crime,Amazon Prime Video
159,Picking Up the Pieces,2000,18+,4.8,Crime,Amazon Prime Video
160,Blue Thunder,1983,18+,6.4,Crime,Amazon Prime Video
161,Jennifer Eight,1992,18+,6.3,Crime,Amazon Prime Video
162,Narco Cultura,2013,18+,7.2,Crime,Amazon Prime Video
163,Buffed Up,2016,,nan,Crime,Amazon Prime Video
164,Don,2006,13+,7.2,Crime,Amazon Prime Video
165,Addicted to Fresno,2015,,5.4,Crime,Amazon Prime Video
166,Drowning Mona,2000,13+,5.7,Crime,Amazon Prime Video
167,Soldier's Girl,2003,18+,7.9,Crime,Amazon Prime Video
168,Heart of the Dragon,1985,18+,6.5,Crime,Amazon Prime Video
169,West Side Story,1961,,7.5,Crime,Amazon Prime Video
170,Shattered,1991,18+,6.5,Crime,Amazon Prime Video
171,You May Not Kiss the Bride,2011,13+,5.4,Crime,Amazon Prime Video
172,The Hoarder,2015,,4.5,Crime,Amazon Prime Video
173,Fifty Dead Men Walking,2008,18+,6.9,Crime,Amazon Prime Video
174,Home Sweet Hell,2015,18+,5.4,Crime,Amazon Prime Video
175,The Keeper,2004,18+,4.7,Crime,Amazon Prime Video
176,Vincent N Roxxy,2016,18+,5.6,Crime,Amazon Prime Video
177,Sweet Country,2018,18+,6.9,Crime,Amazon Prime Video
178,Double Whammy,2001,18+,5.7,Crime,Amazon Prime Video
179,So Close,2002,18+,6.7,Crime,Amazon Prime Video
180,The Droving,2020,,5.5,Crime,Amazon Prime Video
181,Best Men,1997,18+,5.6,Crime,Amazon Prime Video
182,Los Olvidados,1950,,8.3,Crime,Amazon Prime Video
183,Tell No One,2006,,7.5,Crime,Amazon Prime Video
184,The Man with the Golden Arm,1955,,7.4,Crime,Amazon Prime Video
185,A Good Marriage,2014,18+,5.2,Crime,Amazon Prime Video
186,Avenge the Crows,2017,18+,5.1,Crime,Amazon Prime Video
187,Three Way,2004,18+,4.7,Crime,Amazon Prime Video
188,Deranged,1974,18+,6.4,Crime,Amazon Prime Video
189,Terror by Night,1946,,6.9,Crime,Amazon Prime Video
190,Flickering Lights,2000,,7.7,Crime,Amazon Prime Video
191,Vault,2019,18+,5.5,Crime,Amazon Prime Video
192,Mystery Road,2013,,6.6,Crime,Amazon Prime Video
193,Chapter 27,2007,18+,5.7,Crime,Amazon Prime Video
194,10 Rillington Place,1971,7+,7.6,Crime,Amazon Prime Video
195,Kansas City Confidential,1952,,7.4,Crime,Amazon Prime Video
196,Darkness Falls,2020,,4.4,Crime,Amazon Prime Video
197,.45,2006,18+,5.6,Crime,Amazon Prime Video
198,In Search of Voodoo: Roots to Heaven,2018,,8.6,Documentary,Amazon Prime Video
199,Eli�n,2017,7+,6.8,Documentary,Amazon Prime Video
200,Third Eye Spies,2019,,5.9,Documentary,Amazon Prime Video
201,Bodysong,2003,,6.9,Documentary,Amazon Prime Video
202,Drag Kids,2019,,5.1,Documentary,Amazon Prime Video
203,Melody Makers,2019,,7.5,Documentary,Amazon Prime Video
204,The Last Days,1998,13+,7.5,Documentary,Amazon Prime Video
205,"Westwood: Punk, Icon, Activist",2018,,6.0,Documentary,Amazon Prime Video
206,Afghan Star,2009,,7.3,Documentary,Amazon Prime Video
207,Artifishal,2019,,7.4,Documentary,Amazon Prime Video
208,Love Thy Nature,2014,all,6.7,Documentary,Amazon Prime Video
209,Kingdom Come,2014,,4.3,Documentary,Amazon Prime Video
210,Leonard Cohen: I'm Your Man,2006,13+,6.8,Documentary,Amazon Prime Video
211,Flow: For Love of Water,2008,all,7.6,Documentary,Amazon Prime Video
212,Serial Killer Culture,2014,,6.1,Documentary,Amazon Prime Video
213,A River Below,2017,16+,7.2,Documentary,Amazon Prime Video
214,Ping Pong,2012,,7.3,Documentary,Amazon Prime Video
215,Higher,2014,all,7.7,Documentary,Amazon Prime Video
216,Beaver Trilogy Part IV,2015,,7.3,Documentary,Amazon Prime Video
217,Our Nixon,2013,,6.7,Documentary,Amazon Prime Video
218,Stuffed,2019,,7.1,Documentary,Amazon Prime Video
219,Special When Lit,2009,all,6.9,Documentary,Amazon Prime Video
220,Point and Shoot,2014,,6.8,Documentary,Amazon Prime Video
221,DEATH by MetaL,2016,,7.5,Documentary,Amazon Prime Video
222,The Judge,2017,,7.4,Documentary,Amazon Prime Video
223,American Scary,2006,,6.7,Documentary,Amazon Prime Video
224,I Always Said Yes: The Many Lives of Wakefield Poole,2013,,7.5,Documentary,Amazon Prime Video
225,Monsterwolf,2010,18+,3.6,Documentary,Amazon Prime Video
226,Black Sun,2005,,7.4,Documentary,Amazon Prime Video
227,King Corn,2007,all,7.0,Documentary,Amazon Prime Video
228,Being Frank: The Chris Sievey Story,2019,,7.4,Documentary,Amazon Prime Video
229,Vessel,2014,,7.6,Documentary,Amazon Prime Video
230,The Heart of Man,2017,13+,8.3,Documentary,Amazon Prime Video
231,Grant Morrison: Talking with Gods,2010,,7.8,Documentary,Amazon Prime Video
232,What Lies Upstream,2017,16+,7.6,Documentary,Amazon Prime Video
233,Paper Tigers,2015,,7.1,Documentary,Amazon Prime Video
234,Closure,2013,,8.2,Documentary,Amazon Prime Video
235,Programming the Nation?,2011,all,6.3,Documentary,Amazon Prime Video
236,The Russian Five,2018,,8.2,Documentary,Amazon Prime Video
237,Foods That Cure Disease,2018,,6.0,Documentary,Amazon Prime Video
238,Yallah! Underground,2015,7+,7.4,Documentary,Amazon Prime Video
239,"Pulp: a Film About Life, Death & Supermarkets",2014,,7.2,Documentary,Amazon Prime Video
240,Devo: Hardcore Live!,2015,13+,8.6,Documentary,Amazon Prime Video
241,Beautiful Losers,2008,,7.1,Documentary,Amazon Prime Video
242,Once is Enough,2020,7+,7.3,Documentary,Amazon Prime Video
243,Mully,2015,7+,8.1,Documentary,Amazon Prime Video
244,Ramblin' Freak,2017,16+,7.1,Documentary,Amazon Prime Video
245,Treading Water,2013,,6.1,Documentary,Amazon Prime Video
246,See Know Evil,2018,,7.6,Documentary,Amazon Prime Video
247,The Babushkas of Chernobyl,2015,,8.0,Documentary,Amazon Prime Video
248,Cool Kids Don't Cry,2012,,7.4,Drama,Amazon Prime Video
249,The Yellow Birds,2017,18+,5.7,Drama,Amazon Prime Video
250,Kiss the Girls,1997,18+,6.6,Drama,Amazon Prime Video
251,Swimfan,2002,13+,5.1,Drama,Amazon Prime Video
252,Mindscape,2013,18+,6.5,Drama,Amazon Prime Video
253,I'll See You in My Dreams,2015,13+,6.7,Drama,Amazon Prime Video
254,Diary of a Mad Black Woman,2005,13+,5.8,Drama,Amazon Prime Video
255,Evil,2003,all,7.8,Drama,Amazon Prime Video
256,Herself,2020,18+,7.0,Drama,Amazon Prime Video
257,Last Flag Flying,2017,18+,6.9,Drama,Amazon Prime Video
258,Trees Lounge,1996,18+,7.1,Drama,Amazon Prime Video
259,The Bookshop,2017,7+,6.5,Drama,Amazon Prime Video
260,Wonderstruck,2017,7+,6.2,Drama,Amazon Prime Video
261,Thank You for Smoking,2005,18+,7.6,Drama,Amazon Prime Video
262,Blue Jay,2016,,7.3,Drama,Amazon Prime Video
263,Ma Ma,2015,18+,6.4,Drama,Amazon Prime Video
264,Guilty Men,2016,,6.6,Drama,Amazon Prime Video
265,"10,000 Days",2014,7+,2.7,Drama,Amazon Prime Video
266,Rudderless,2014,18+,7.5,Drama,Amazon Prime Video
267,Bully,2001,18+,6.9,Drama,Amazon Prime Video
268,Adore,2013,18+,6.2,Drama,Amazon Prime Video
269,Body of Evidence,1993,18+,4.5,Drama,Amazon Prime Video
270,Branded,2012,18+,4.7,Drama,Amazon Prime Video
271,Bad Boys,1983,18+,7.2,Drama,Amazon Prime Video
272,Two Brothers,2004,7+,7.1,Drama,Amazon Prime Video
273,Ernest & Celestine,2012,7+,7.9,Drama,Amazon Prime Video
274,Hidden Kisses,2016,,7.2,Drama,Amazon Prime Video
275,Flowers in the Attic,1987,18+,5.8,Drama,Amazon Prime Video
276,Raising the Bar,2017,7+,5.6,Drama,Amazon Prime Video
277,El Gringo,2012,18+,5.4,Drama,Amazon Prime Video
278,Man About Town,2006,18+,5.5,Drama,Amazon Prime Video
279,100 Streets,2016,,5.8,Drama,Amazon Prime Video
280,Not Another Happy Ending,2013,,6.2,Drama,Amazon Prime Video
281,Beowulf & Grendel,2005,18+,5.8,Drama,Amazon Prime Video
282,Cold War,2018,18+,7.6,Drama,Amazon Prime Video
283,Private Parts,1997,18+,6.9,Drama,Amazon Prime Video
284,King Jack,2015,,7.0,Drama,Amazon Prime Video
285,CBGB,2013,18+,6.6,Drama,Amazon Prime Video
286,The Mandela Effect,2019,,5.7,Drama,Amazon Prime Video
287,Strange Nature,2018,,4.3,Drama,Amazon Prime Video
288,Wall Street: Money Never Sleeps,2010,13+,6.2,Drama,Amazon Prime Video
289,The Apostle Peter: Redemption,2016,7+,5.7,Drama,Amazon Prime Video
290,The Round Up,2010,,7.1,Drama,Amazon Prime Video
291,United,2011,13+,7.4,Drama,Amazon Prime Video
292,Stalked by My Neighbor,2015,16+,5.2,Drama,Amazon Prime Video
293,Romeo & Juliet,2013,13+,5.8,Drama,Amazon Prime Video
294,The Way Back,2010,13+,7.3,Drama,Amazon Prime Video
295,Sox: A Family's Best Friend,2013,7+,5.2,Family,Amazon Prime Video
296,CODE: Debugging the Gender Gap,2015,,6.0,Family,Amazon Prime Video
297,Mee-Shee: The Water Giant,2005,7+,5.3,Family,Amazon Prime Video
298,The Last Leprechaun,1998,,3.7,Family,Amazon Prime Video
299,David and Goliath,1960,all,4.9,Family,Amazon Prime Video
300,Midnight Stallion,2013,,5.0,Family,Amazon Prime Video
301,Miles,2017,,5.7,Family,Amazon Prime Video
302,Menace from Outer Space,1956,,3.7,Family,Amazon Prime Video
303,Best Friend from Heaven,2017,7+,5.5,Family,Amazon Prime Video
304,Perfect Piece,2016,,4.0,Family,Amazon Prime Video
305,WWJD: What Would Jesus Do? The Journey Continues,2015,,4.3,Family,Amazon Prime Video
306,The Bouquet,2013,all,5.8,Family,Amazon Prime Video
307,Adventure Boyz,2019,,5.1,Family,Amazon Prime Video
308,The Dempsey Sisters,2013,,5.6,Family,Amazon Prime Video
309,The Call of the Wild,1972,7+,6.0,Family,Amazon Prime Video
310,Ghadi,2013,13+,7.4,Family,Amazon Prime Video
311,The Last Reef: Cities Beneath the Sea,2012,,7.4,Family,Amazon Prime Video
312,A Picture of You,2014,,6.3,Family,Amazon Prime Video
313,Pudsey the Dog: The Movie,2014,all,2.5,Family,Amazon Prime Video
314,Kart Racer,2003,7+,5.6,Family,Amazon Prime Video
315,Good Newwz,2019,,7.0,Family,Amazon Prime Video
316,The Rooftop Christmas Tree,2016,all,6.2,Family,Amazon Prime Video
317,A Doggone Christmas,2016,all,4.1,Family,Amazon Prime Video
318,The Legend of Sasquatch,2007,all,4.0,Family,Amazon Prime Video
319,Huckleberry Finn,1974,all,5.6,Family,Amazon Prime Video
320,The Hunchback of Notre Dame,1996,,4.6,Family,Amazon Prime Video
321,For Grace,2015,,7.3,Family,Amazon Prime Video
322,The Magic Sword,1962,,4.7,Family,Amazon Prime Video
323,Make Believe,2011,,7.0,Family,Amazon Prime Video
324,Space Dogs,2010,all,5.1,Family,Amazon Prime Video
325,The Over The Hill Gang Rides Again,1970,13+,5.6,Family,Amazon Prime Video
326,Luna: Spirit of the Whale,2007,7+,6.1,Family,Amazon Prime Video
327,The Painted Hills,1951,all,4.0,Family,Amazon Prime Video
328,The Cat Came Back,1988,,7.5,Family,Amazon Prime Video
329,Don't Let the Riverbeast Get You!,2012,,5.4,Family,Amazon Prime Video
330,Out There,1995,13+,5.5,Family,Amazon Prime Video
331,The Redemption of the Heart,2015,,6.7,Family,Amazon Prime Video
332,Teenage,2013,,6.6,Family,Amazon Prime Video
333,Wolf Summer,2003,,5.9,Family,Amazon Prime Video
334,Secrets of War,2014,,7.1,Family,Amazon Prime Video
335,Forest Fairies,2015,all,6.5,Family,Amazon Prime Video
336,Magic Gift of the Snowman,1995,,6.3,Family,Amazon Prime Video
337,Always Will,2006,7+,4.6,Family,Amazon Prime Video
338,Twelve,2019,,6.1,Family,Amazon Prime Video
339,The Boy and the Pirates,1960,,5.2,Fantasy,Amazon Prime Video
340,Clones,2015,,6.6,Fantasy,Amazon Prime Video
341,Witch's Night Out,1978,,7.5,Fantasy,Amazon Prime Video
342,Lancelot and Guinevere,1963,,5.8,Fantasy,Amazon Prime Video
343,Saturday Morning,2007,,6.7,Fantasy,Amazon Prime Video
344,My Fairy Tail Love Story,2018,,7.6,Fantasy,Amazon Prime Video
345,Get Mean,1975,,5.2,Fantasy,Amazon Prime Video
346,Pursuit of Vengeance,1977,,6.8,Fantasy,Amazon Prime Video
347,King Solomon's Treasure,1979,,4.1,Fantasy,Amazon Prime Video
348,Hawaizaada,2015,7+,5.5,Fantasy,Amazon Prime Video
349,A Talking Pony!?!,2013,,2.4,Fantasy,Amazon Prime Video
350,Buckets,2017,,6.6,Fantasy,Amazon Prime Video
351,A Carol for Another Christmas,1964,,6.5,Fantasy,Amazon Prime Video
352,Charlie's Ghost Story,1995,7+,4.5,Fantasy,Amazon Prime Video
353,The Bespoke Overcoat,1955,,7.1,Fantasy,Amazon Prime Video
354,A Chairy Tale,1957,,7.4,Fantasy,Amazon Prime Video
355,Little Spirit: Christmas in New York,2008,all,5.0,Fantasy,Amazon Prime Video
356,And There Were 4,2018,,4.2,Fantasy,Amazon Prime Video
357,The Night Before Christmas,1994,,6.2,Fantasy,Amazon Prime Video
358,The Princess Castle,1996,,6.8,Fantasy,Amazon Prime Video
359,Conlanging: The Art of Crafting Tongues,2017,7+,6.7,Fantasy,Amazon Prime Video
360,Karaoke Crazies,2016,,6.3,Fantasy,Amazon Prime Video
361,Tom Thumb Meets Thumbelina,1996,,6.0,Fantasy,Amazon Prime Video
362,The Mystical Adventures of Billy Owens,2008,7+,2.2,Fantasy,Amazon Prime Video
363,Tam Cam: The Untold,2016,,5.5,Fantasy,Amazon Prime Video
364,Jack and the Beanstalk,1990,all,6.8,Fantasy,Amazon Prime Video
365,Ulysses Against the Son of Hercules,1962,,5.0,Fantasy,Amazon Prime Video
366,Journey to the Center of Time,1967,,3.8,Fantasy,Amazon Prime Video
367,"Somewhere, Tomorrow",1983,7+,6.3,Fantasy,Amazon Prime Video
368,Yellow Day,2015,7+,6.2,Fantasy,Amazon Prime Video
369,Exciting Dragon,1985,,6.9,Fantasy,Amazon Prime Video
370,Dead Aim,1971,18+,4.5,Fantasy,Amazon Prime Video
371,Deer Boy,2017,,6.4,Fantasy,Amazon Prime Video
372,Spike,2008,18+,3.1,Fantasy,Amazon Prime Video
373,In The Night Kitchen,1987,,6.8,Fantasy,Amazon Prime Video
374,Fearless Frank,1967,all,4.1,Fantasy,Amazon Prime Video
375,Luz: The Flower of Evil,2019,18+,5.1,Fantasy,Amazon Prime Video
376,Guantanamero,2007,18+,4.8,Fantasy,Amazon Prime Video
377,Indomitable: The Dragonphoenix Chronicles,2013,16+,5.8,Fantasy,Amazon Prime Video
378,Chandu on the Magic Island,1935,,4.7,Fantasy,Amazon Prime Video
379,Kid from Kwangtung,1982,18+,6.0,Fantasy,Amazon Prime Video
380,Samson and the Seven Miracles of the World,1961,,4.9,Fantasy,Amazon Prime Video
381,Love Meet Hope,2016,,5.1,Fantasy,Amazon Prime Video
382,Mirch,2010,,6.5,Fantasy,Amazon Prime Video
383,The Shadow Boxing,1979,,6.7,Fantasy,Amazon Prime Video
384,It Came from the Desert,2017,,4.2,Horror,Amazon Prime Video
385,Appetites,2015,,3.3,Horror,Amazon Prime Video
386,Hide in the Light,2018,,3.7,Horror,Amazon Prime Video
387,Cruel World,2005,18+,3.9,Horror,Amazon Prime Video
388,Vampire Boys,2011,,2.8,Horror,Amazon Prime Video
389,The Backwoods,2006,18+,5.7,Horror,Amazon Prime Video
390,Angelica,2015,,4.9,Horror,Amazon Prime Video
391,The 50 Best Horror Movies You've Never Seen,2014,,6.2,Horror,Amazon Prime Video
392,House of Good and Evil,2013,13+,6.5,Horror,Amazon Prime Video
393,The Bell Witch Haunting,2013,,3.6,Horror,Amazon Prime Video
394,Lisa and the Devil,1973,18+,6.4,Horror,Amazon Prime Video
395,The Linda Vista Project,2015,,3.1,Horror,Amazon Prime Video
396,October Moon,2005,,4.8,Horror,Amazon Prime Video
397,Hard Ride to Hell,2010,,3.8,Horror,Amazon Prime Video
